question_id,mode,material_id,floor_number,difficulty,variant_number,indicator,cognitive_level,question_type,context_tag,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_value,hint_1,hint_2,explanation,common_error_tag,remedial_material_id,is_active
M1A-F01-MD-V01,PRACTICE,M1A,1,MUDAH,1,I2,C3,PG,diskon,Sebuah barang seharga Rp80.000 mendapat diskon 10%. Besar diskon barang tersebut adalah ....,Rp8.000,Rp4.000,Rp72.000,Rp80.000,A,Rp8.000,Diskon 10% dihitung dari harga awal Rp80.000.,Kalikan 10% dengan Rp80.000 untuk memperoleh besar potongan.,Besar diskon = 10% × Rp80.000 = Rp8.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-MD-V02,PRACTICE,M1A,1,MUDAH,2,I2,C3,PG,diskon,Sebuah barang seharga Rp50.000 mendapat diskon 20%. Besar diskon barang tersebut adalah ....,Rp40.000,Rp10.000,Rp5.000,Rp50.000,B,Rp10.000,Diskon 20% dihitung dari harga awal Rp50.000.,Kalikan 20% dengan Rp50.000 untuk memperoleh besar potongan.,Besar diskon = 20% × Rp50.000 = Rp10.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-MD-V03,PRACTICE,M1A,1,MUDAH,3,I2,C3,PG,diskon,Sebuah barang seharga Rp120.000 mendapat diskon 25%. Besar diskon barang tersebut adalah ....,Rp15.000,Rp30.000,Rp90.000,Rp120.000,B,Rp30.000,Diskon 25% dihitung dari harga awal Rp120.000.,Kalikan 25% dengan Rp120.000 untuk memperoleh besar potongan.,Besar diskon = 25% × Rp120.000 = Rp30.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SD-V01,PRACTICE,M1A,1,SEDANG,1,I2,C3,PG,diskon,Sebuah barang seharga Rp200.000 mendapat diskon 15%. Besar diskon barang tersebut adalah ....,Rp170.000,Rp30.000,Rp200.000,Rp15.000,B,Rp30.000,Diskon 15% dihitung dari harga awal Rp200.000.,Kalikan 15% dengan Rp200.000 untuk memperoleh besar potongan.,Besar diskon = 15% × Rp200.000 = Rp30.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SD-V02,PRACTICE,M1A,1,SEDANG,2,I2,C3,PG,diskon,"Sebuah barang seharga Rp160.000 mendapat diskon 12,5%. Besar diskon barang tersebut adalah ....",Rp140.000,Rp20.000,Rp10.000,Rp160.000,B,Rp20.000,"Diskon 12,5% dihitung dari harga awal Rp160.000.","Kalikan 12,5% dengan Rp160.000 untuk memperoleh besar potongan.","Besar diskon = 12,5% × Rp160.000 = Rp20.000.",ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SD-V03,PRACTICE,M1A,1,SEDANG,3,I2,C3,PG,diskon,Sebuah barang seharga Rp180.000 mendapat diskon 30%. Besar diskon barang tersebut adalah ....,Rp54.000,Rp180.000,Rp27.000,Rp126.000,A,Rp54.000,Diskon 30% dihitung dari harga awal Rp180.000.,Kalikan 30% dengan Rp180.000 untuk memperoleh besar potongan.,Besar diskon = 30% × Rp180.000 = Rp54.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SL-V01,PRACTICE,M1A,1,SULIT,1,I2,C4,PG,diskon,Sebuah barang seharga Rp300.000 mendapat diskon 20%. Besar diskon barang tersebut adalah ....,Rp30.000,Rp240.000,Rp60.000,Rp300.000,C,Rp60.000,Diskon 20% dihitung dari harga awal Rp300.000.,Kalikan 20% dengan Rp300.000 untuk memperoleh besar potongan.,Besar diskon = 20% × Rp300.000 = Rp60.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SL-V02,PRACTICE,M1A,1,SULIT,2,I2,C4,PG,diskon,Sebuah barang seharga Rp240.000 mendapat diskon 25%. Besar diskon barang tersebut adalah ....,Rp240.000,Rp30.000,Rp60.000,Rp180.000,C,Rp60.000,Diskon 25% dihitung dari harga awal Rp240.000.,Kalikan 25% dengan Rp240.000 untuk memperoleh besar potongan.,Besar diskon = 25% × Rp240.000 = Rp60.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F01-SL-V03,PRACTICE,M1A,1,SULIT,3,I2,C4,PG,diskon,Sebuah barang seharga Rp450.000 mendapat diskon 40%. Besar diskon barang tersebut adalah ....,Rp450.000,Rp180.000,Rp90.000,Rp270.000,B,Rp180.000,Diskon 40% dihitung dari harga awal Rp450.000.,Kalikan 40% dengan Rp450.000 untuk memperoleh besar potongan.,Besar diskon = 40% × Rp450.000 = Rp180.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-MD-V01,PRACTICE,M1A,2,MUDAH,1,I2,C3,PG,diskon,Sebuah barang seharga Rp100.000 mendapat diskon 5%. Besar diskon barang tersebut adalah ....,Rp5.000,Rp95.000,Rp2.500,Rp100.000,A,Rp5.000,Diskon 5% dihitung dari harga awal Rp100.000.,Kalikan 5% dengan Rp100.000 untuk memperoleh besar potongan.,Besar diskon = 5% × Rp100.000 = Rp5.000.,ERR_PERCENT_CONVERSION,R1,TRUE
