id,materialId,judulMateri,mode,indicator,difficulty,difficultyLabel,questionType,question,optA,optB,optC,optD,optE,correct,hint1,hint2,hint3,explanation,remedialMaterialId
M1A-POST-MD-V01,M1A,Diskon dan Harga Akhir,POSTTEST,I1,1,Mudah,PG,Sebuah barang seharga Rp100.000 mendapat diskon bertingkat 10% lalu 10%. Harga akhirnya adalah ....,Rp19.000,Rp80.000,Rp90.000,Rp81.000,Rp95.000,D,,,,Setelah diskon pertama: Rp90.000. Setelah diskon kedua: Rp81.000.,M1A/R1
M1A-F01-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp80.000 mendapat diskon 10%. Besar diskon barang tersebut adalah ....,Rp8.000,Rp4.000,Rp72.000,Rp80.000,Rp12.000,A,Diskon 10% dihitung dari harga awal Rp80.000.,Kalikan 10% dengan Rp80.000 untuk memperoleh besar potongan.,,Besar diskon = 10% × Rp80.000 = Rp8.000.,R1
M1A-F01-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp50.000 mendapat diskon 20%. Besar diskon barang tersebut adalah ....,Rp40.000,Rp10.000,Rp5.000,Rp50.000,Rp12.500,B,Diskon 20% dihitung dari harga awal Rp50.000.,Kalikan 20% dengan Rp50.000 untuk memperoleh besar potongan.,,Besar diskon = 20% × Rp50.000 = Rp10.000.,R1
M1A-F01-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp120.000 mendapat diskon 25%. Besar diskon barang tersebut adalah ....,Rp15.000,Rp36.000,Rp90.000,Rp120.000,Rp30.000,E,Diskon 25% dihitung dari harga awal Rp120.000.,Kalikan 25% dengan Rp120.000 untuk memperoleh besar potongan.,,Besar diskon = 25% × Rp120.000 = Rp30.000.,R1
M1A-F02-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp100.000 mendapat diskon 5%. Besar diskon barang tersebut adalah ....,Rp10.000,Rp95.000,Rp2.500,Rp100.000,Rp5.000,E,Diskon 5% dihitung dari harga awal Rp100.000.,Kalikan 5% dengan Rp100.000 untuk memperoleh besar potongan.,,Besar diskon = 5% × Rp100.000 = Rp5.000.,R1
M1A-F02-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp75.000 mendapat diskon 10%. Besar diskon barang tersebut adalah ....,Rp67.500,Rp75.000,Rp7.500,Rp3.750,Rp11.250,C,Diskon 10% dihitung dari harga awal Rp75.000.,Kalikan 10% dengan Rp75.000 untuk memperoleh besar potongan.,,Besar diskon = 10% × Rp75.000 = Rp7.500.,R1
M1A-F02-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I2,1,Mudah,PG,Sebuah barang seharga Rp60.000 mendapat diskon 50%. Besar diskon barang tersebut adalah ....,Rp60.000,Rp45.000,Rp15.000,Rp30.000,Rp33.000,D,Diskon 50% dihitung dari harga awal Rp60.000.,Kalikan 50% dengan Rp60.000 untuk memperoleh besar potongan.,,Besar diskon = 50% × Rp60.000 = Rp30.000.,R1
M1A-F03-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp100.000 mendapat diskon 10%. Harga setelah diskon adalah ....,Rp10.000,Rp100.000,Rp90.000,Rp95.000,Rp85.000,C,Cari dahulu besar diskon 10% dari Rp100.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp100.000.",,Diskon = 10% × Rp100.000 = Rp10.000. Harga akhir = Rp100.000 − Rp10.000 = Rp90.000.,R1
M1A-F03-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp150.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp150.000,Rp30.000,Rp135.000,Rp120.000,Rp112.500,D,Cari dahulu besar diskon 20% dari Rp150.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp150.000.",,Diskon = 20% × Rp150.000 = Rp30.000. Harga akhir = Rp150.000 − Rp30.000 = Rp120.000.,R1
M1A-F03-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp200.000 mendapat diskon 25%. Harga setelah diskon adalah ....,Rp200.000,Rp175.000,Rp150.000,Rp50.000,Rp140.000,C,Cari dahulu besar diskon 25% dari Rp200.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp200.000.",,Diskon = 25% × Rp200.000 = Rp50.000. Harga akhir = Rp200.000 − Rp50.000 = Rp150.000.,R1
