"content_id","checkpoint_no","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"M1A-SHORT","1","Harga hoodie Rp180.000 mendapat diskon 20%. Harga akhir hoodie adalah ....","Rp36.000","Rp144.000","Rp160.000","Rp216.000","B","Diskon = 20% × Rp180.000 = Rp36.000. Harga akhir = Rp180.000 − Rp36.000 = Rp144.000."
"M1A-SHORT","2","Topi seharga Rp80.000 mendapat diskon 25%. Besar diskonnya adalah ....","Rp15.000","Rp20.000","Rp25.000","Rp60.000","B","25% dari Rp80.000 = Rp20.000. Jadi besar diskonnya adalah Rp20.000."
"M1A-SHORT","3","Celana seharga Rp250.000 mendapat diskon 10%. Harga akhirnya adalah ....","Rp25.000","Rp225.000","Rp240.000","Rp275.000","B","Diskon = 10% × Rp250.000 = Rp25.000. Harga akhir = Rp250.000 − Rp25.000 = Rp225.000."
"M1A-FULL","1","Jam tangan seharga Rp160.000 mendapat diskon 15%. Harga akhirnya adalah ....","Rp24.000","Rp136.000","Rp145.000","Rp184.000","B","Diskon = 15% × Rp160.000 = Rp24.000. Harga akhir = Rp160.000 − Rp24.000 = Rp136.000."
"M1A-FULL","2","Harga akhir sebuah sepatu setelah diskon 30% adalah Rp210.000. Harga awal sepatu tersebut adalah ....","Rp240.000","Rp270.000","Rp300.000","Rp330.000","C","Jika diskon 30%, maka harga akhir adalah 70% dari harga awal. Harga awal = Rp210.000 ÷ 0,70 = Rp300.000."
"M1A-FULL","3","Toko A menjual tas Rp220.000 diskon 15%. Toko B menjual tas sama Rp200.000 diskon 5%. Pilihan yang lebih hemat adalah ....","Toko A lebih hemat Rp3.000","Toko B lebih hemat Rp3.000","Keduanya sama","Toko A lebih hemat Rp13.000","A","Toko A = 85% × Rp220.000 = Rp187.000. Toko B = 95% × Rp200.000 = Rp190.000. Toko A lebih hemat Rp3.000."
"M1A-FULL","4","Sebuah tas seharga Rp500.000 mendapat diskon bertingkat 20% lalu 15%. Harga akhirnya adalah ....","Rp325.000","Rp340.000","Rp350.000","Rp365.000","B","Setelah diskon 20%, harga menjadi Rp400.000. Diskon 15% dari Rp400.000 adalah Rp60.000. Harga akhir = Rp340.000."
"M1A-FULL","5","Barang seharga Rp90.000 mendapat diskon 12,5%. Besar diskonnya adalah ....","Rp9.000","Rp10.000","Rp11.250","Rp78.750","C","12,5% = 1/8. Besar diskon = Rp90.000 ÷ 8 = Rp11.250."
"M1B-SHORT","1","Harga makanan Rp120.000 dikenakan PPN 11%. Total bayar adalah ....","Rp121.320","Rp132.000","Rp133.200","Rp145.200","C","PPN = 11% × Rp120.000 = Rp13.200. Total bayar = Rp120.000 + Rp13.200 = Rp133.200."
"M1B-SHORT","2","Harga barang Rp180.000 mendapat voucher Rp30.000. Setelah voucher, dikenakan biaya layanan 2%. Total bayar adalah ....","Rp150.000","Rp153.000","Rp153.600","Rp183.600","B","Subtotal = Rp180.000 − Rp30.000 = Rp150.000. Biaya layanan = 2% × Rp150.000 = Rp3.000. Total = Rp153.000."
"M1B-SHORT","3","Barang Rp250.000 mendapat diskon 20%. Setelah diskon dikenakan PPN 11% dan ongkir Rp12.000. Total bayar adalah ....","Rp200.000","Rp222.000","Rp234.000","Rp289.000","C","Harga setelah diskon = Rp200.000. PPN = 11% × Rp200.000 = Rp22.000. Total = Rp200.000 + Rp22.000 + Rp12.000 = Rp234.000."
"M1B-FULL","1","Barang Rp400.000 mendapat voucher Rp50.000. Setelah voucher dikenakan PPN 11% dan ongkir Rp20.000. Total bayar adalah ....","Rp388.500","Rp408.500","Rp414.000","Rp470.000","B","Subtotal = Rp400.000 − Rp50.000 = Rp350.000. PPN = Rp38.500. Total = Rp350.000 + Rp38.500 + Rp20.000 = Rp408.500."
